Marker file version: 1
Time format: Time
Chapter Title	00:00:01.96506250		
Heading 1	00:00:06.02725000		
Verse 1	00:00:09.01704167		
Verse 2	00:00:20.95814583		
Verse 3	00:00:31.39814583		
Verse 4	00:00:49.89814583		
Verse 5	00:00:58.71147917		
Verse 6	00:01:06.83147917		
Verse 7	00:01:20.79147917		
Verse 8	00:01:29.80481250		
Verse 9	00:01:38.05147917		
Verse 10	00:01:42.51814583		
Verse 11	00:01:52.67814583		
Heading 2	00:02:15.76268750		
Verse 12	00:02:19.21889583		
Verse 13	00:02:27.88556250		
Verse 14	00:02:40.86556250		
Verse 15	00:02:51.99222917		
Verse 16	00:03:01.91954167		
Verse 17	00:03:10.37954167		
Verse 18	00:03:21.65954167		
Verse 19	00:03:27.37954167		
End	00:03:37.15262500		
